id,year,decade,dimensions,medium,provenance,title,url,country,creditline,designer,designer_id,designer_url,designer_gender,image_b,image_s,css4_colors,color,area,y
18505041,1917.0,1910.0,104.1 x 68.6 cm (41 x 27 in.),lithograph on paper,1980: acquired by Museum,"Gee I wish I were a Man, I'd Join the Navy",https://collection.cooperhewitt.org/objects/18505041/,United States,Gift of Unknown Donor,Howard Chandler Christy,18060211,https://collection.cooperhewitt.org/people/18060211/,Boy,https://images.collection.cooperhewitt.org/34407_b8c28cd0daf65e53_b.jpg,https://images.collection.cooperhewitt.org/34407_b8c28cd0daf65e53_sq.jpg,"['#2f4f4f', '#2f4f4f', '#f5deb3', '#4682b4', '#808080']",#2f4f4f,7141.259999999999,1
18505067,1937.0,1930.0,96.5 x 71 cm (38 x 27 15/16 in.),lithograph on white wove paper,1980: acquired by Museum,Your Work Means Victory,https://collection.cooperhewitt.org/objects/18505067/,United States,Gift of Unknown Donor,Fred J. Hoertz,18042955,https://collection.cooperhewitt.org/people/18042955/,Boy,https://images.collection.cooperhewitt.org/9068_9e027bbb807dea3a_b.jpg,https://images.collection.cooperhewitt.org/9068_9e027bbb807dea3a_sq.jpg,"['#008080', '#4682b4', '#ff4500', '#191970', '#c0c0c0']",#008080,6851.5,16
18505071,1918.0,1910.0,70 × 52 cm (27 9/16 × 20 1/2 in.),offset lithograph on paper,1980: acquired by Museum,Hold Up Your End! War Fund Week,https://collection.cooperhewitt.org/objects/18505071/,United States,Gift of Unknown Donor,W. B. King,68263807,https://collection.cooperhewitt.org/people/68263807/,Girl,https://images.collection.cooperhewitt.org/99129_b60d23946a7c6260_b.jpg,https://images.collection.cooperhewitt.org/99129_b60d23946a7c6260_sq.jpg,"['#bdb76b', '#cd853f', '#a0522d', '#f5deb3', '#2f4f4f']",#bdb76b,3640.0,3
18505087,1918.0,1910.0,(irreg.): 91.4 x 127 cm (36 x 50 in.),lithograph on paper,1980: acquired by Museum,Teamwork Builds Ships,https://collection.cooperhewitt.org/objects/18505087/,United States,Gift of Unknown Donor,William Dodge Stevens,68248243,https://collection.cooperhewitt.org/people/68248243/,Boy,https://images.collection.cooperhewitt.org/88914_b095f8f97411d412_b.jpg,https://images.collection.cooperhewitt.org/88914_b095f8f97411d412_sq.jpg,"['#d2b48c', '#2f4f4f', '#556b2f', '#cd853f', '#2f4f4f']",#d2b48c,11607.800000000001,4
18505105,1941.0,1940.0,76.2 x 101.6 cm (30 x 40 in.),offset lithograph on wove paper,1980: acquired by Museum,Give 'em Both Barrels,https://collection.cooperhewitt.org/objects/18505105/,United States,Gift of Unknown Donor,,,,,https://images.collection.cooperhewitt.org/34408_d01768ab83f5b10b_b.jpg,https://images.collection.cooperhewitt.org/34408_d01768ab83f5b10b_sq.jpg,"['#f0e68c', '#2f4f4f', '#483d8b', '#696969', '#556b2f']",#f0e68c,7741.92,1
18505223,1972.0,1970.0,67.6 x 60.9 cm (26 5/8 x 24 in.),offset lithograph on paper,1980: acquired by Museum,Stadium,https://collection.cooperhewitt.org/objects/18505223/,United States,Gift of Unknown Donor,,,,,https://images.collection.cooperhewitt.org/82291_594f1bc641c6f172_b.jpg,https://images.collection.cooperhewitt.org/82291_594f1bc641c6f172_sq.jpg,['#696969'],#696969,4116.839999999999,1
18505257,1976.0,1970.0,76.1 x 50.7 cm (29 15/16 x 19 15/16 in.),lithograph on paper,1980: acquired by Museum,"Images of an Era the American Poster, 1945-75",https://collection.cooperhewitt.org/objects/18505257/,United States,Gift of Unknown Donor,,,,,https://images.collection.cooperhewitt.org/82294_eafaec6550870b63_b.jpg,https://images.collection.cooperhewitt.org/82294_eafaec6550870b63_sq.jpg,"['#708090', '#f08080', '#90ee90', '#ff6347', '#2f4f4f']",#708090,3858.27,1
18512103,1974.0,1970.0,66 x 30.5 cm (26 x 12 in.),offset lithograph on paper,1980: acquired by Museum,New York City Ballet,https://collection.cooperhewitt.org/objects/18512103/,United States,Gift of Unknown Donor,Edward Gorey,18064413,https://collection.cooperhewitt.org/people/18064413/,Boy,https://images.collection.cooperhewitt.org/90077_24bba1bde0640bd7_b.jpg,https://images.collection.cooperhewitt.org/90077_24bba1bde0640bd7_sq.jpg,"['#dcdcdc', '#2f4f4f', '#bc8f8f', '#696969', '#808080']",#dcdcdc,2013.0,1
18612741,1942.0,1940.0,H x W: 101.8 × 71.1 cm (40 1/16 in. × 28 in.),lithograph on paper,None,Someone Talked!,https://collection.cooperhewitt.org/objects/18612741/,United States,Gift of Louise Clémencon,Frederick Siebel,68774483,https://collection.cooperhewitt.org/people/68774483/,Boy,https://images.collection.cooperhewitt.org/93569_bba1d86340f4aa93_b.jpg,https://images.collection.cooperhewitt.org/93569_bba1d86340f4aa93_sq.jpg,"['#696969', '#696969', '#808080', '#bc8f8f']",#696969,7237.98,4
18612761,1942.0,1940.0,H x W: 101.6 × 72.4 cm (40 in. × 28 1/2 in.),lithograph on paper,None,Don't Let That Shadow Touch Them,https://collection.cooperhewitt.org/objects/18612761/,United States,Gift of Louise Clémencon,Lawrence Beall Smith,18053457,https://collection.cooperhewitt.org/people/18053457/,Boy,https://images.collection.cooperhewitt.org/93568_d12e5c52530304f6_b.jpg,https://images.collection.cooperhewitt.org/93568_d12e5c52530304f6_sq.jpg,"['#2f4f4f', '#696969', '#bdb76b', '#2f4f4f', '#d2b48c']",#2f4f4f,7355.84,5
